"taskId";"title"
10087;"SignZoo SEO Monthly"
10088;"Client Feedback #5"
10089;"Apply Categories to multiple domains"
10090;"Initiate Credit Card Charge Immediately for Large Purchases"
10091;"Post Date Charge Item Option"
10092;"Remove Commission from Listing Purchases made on Front End"
10093;"Remove wide menu bar on front end"
10094;"Increase Padding on Search Bar"
10095;"Remove extra white space under main navigation"
10096;"Need way to delete main image from site"
10097;"Error in displaying phone numbers"
10098;"Cannot access control panel"
10099;"skip-name-resolve"
10100;"Steve Kamph (Saddlery)"
10101;"Schiffer SEM Maintenance"
10102;"Oauth issue"
10103;"Listing search"
10104;"Backend bugs #2"
10105;"Add new email recipient to payment notification"
10106;"business pages and template"
10107;"WindVisuals SEO Maintenance"
10108;"reports doesn't work"
10109;"'Updated' Centered + Chatter Replies + Tournament Results"
10110;"WaitForFeedack & Feedback statuses"
10111;"Beta release feedback "
10112;"PP zone in backend"
10113;"949 Media (RepealHealthCare)"
10114;"PTW Corp issue"
10115;"Formatting bug with Video content"
10116;"Integrate Social Media into our SEO Strategy"
10117;"Backend Changes #4"
10118;"Missing Description"
10119;"Issues editing new postings and photo's"
10120;"Posting to Twitter not working"
10121;"Product not coming up in Search"
10122;"Email Notification when note is Created"
10123;"Juxt Interactive Meeting"
10124;"Why join layout issue"
10125;"Add font selector to PTW partner edit"
10126;"Video webservice integration"
10127;"post-release changes"
10128;"test WaitForClient & Feedback notification"
10129;"test task notification"
10130;"Arrangements bug"
10131;"Some issues from The Search Agency"
10132;"Add ""group by"" to reports for platform level reporting"
10133;"Report filter by publisher type"
10134;"SuperMedia add omniture tracking"
10135;"Supermedia custom privacy page and terms of use"
10136;"Remove Google Adsense code from page"
10137;"Juxt Interactive (Lexus iPad)"
10138;"SM: Project Management"
10139;"SM: Meeting + Planning"
10140;"Task created by clickbrand 11/19"
10141;"CISCO Planning"
10142;"CR: Develop iPad"
10143;"CR: Develop Backend"
10144;"Source code to client"
10145;"SLV: iPhone Production"
10146;"SM: iPad Design"
10147;"Enable Admin Users to Toggle Manual Billing Field"
10148;"Page speed load info for Backend Pages"
10149;"bug in report late by month"
10150;"Clients in admin"
10151;"CR: Develop Backend: HTML/CSS stage"
10152;"Interface Logic Changes"
10153;"Reset partner functionality"
10154;"Create Release Document"
10155;"iAd issues"
10156;"Auth webservice integration"
10157;"22 11 testing"
10158;"Image upload issue"
10159;"Article without title"
10160;"Change bungalow ad"
10161;"Sitemap"
10162;"wireframes"
10163;"Initial Design"
10164;"Production Art"
10165;"Specifications"
10166;"Design Management"
10167;"Product Count Backend"
10168;"File Uploading Problem"
10169;"Accessing Data"
10170;"Don't display selling price on listing detail page"
10171;"Identicoin: Specifications"
10172;"Connection stat & Traffic stat requirement"
10173;"check the files"
10174;"XHTML/CSS for Backend"
10175;"export to XLS for tasks"
10176;"FAP: Project Management"
10177;"Add Field + Link for HTC"
10178;"Errors"
10179;"Businessclouds leads export"
10180;"superpages.com scraper"
10181;"Problem with Related Searches"
10182;"Develop iPhone app(test task)"
10183;"correct form style"
10184;"Bug with saving hourly reports"
10185;"Fix ad"
10186;"MEA: Project Management"
10187;"Submit App to Apple"
10188;"Mini App v1.0"
10189;"Create Wireframes of Mini App"
10190;"FAP: Design"
10191;"FAP: Sitemap"
10192;"CR: Add Hotel(s) Mock Ups"
10193;"Resolve google maps alert "
10194;"24 11 2010 testing"
10195;"Need custom URL's to display results"
10196;"Create Add"
10197;"FAP: Wireframes"
10198;"FAP: Initial Design"
10199;"FAP: Production Art"
10200;"FAP: Design Management"
10201;"FAP: Specifications"
10202;"Contract for Project"
10203;"Issues Nov 24"
10204;"Project Priority"
10205;"Sort by Last Name"
10206;"Fix Bug on saritasa page"
10207;"Client Feedback #6"
10208;"Create ER Diagram of DB"
10209;"Backend&Frontend bugs"
10210;"Delete Area button in empty news blocks"
10211;"test task cration"
10212;"Problems with Edit Newsblock's content"
10213;"menu News "
10214;"add new image news block"
10215;"broblem with image field in new newsblock"
10216;"wrong avatar loading status"
10217;"bug report on Add employee "
10218;"Problems with blocks area and images"
10219;"Wrong avatar status"
10220;"checkboxes in toughts "
10221;"""Delete Thought"" button in empty thought block"
10222;"view links "
10223;"Problem with add new report"
10224;"Problem with edit report"
10225;"on edit link click - bug report"
10226;"view links in Projects page"
10227;"problem with add job "
10228;"view links in Jobs page"
10229;"on add page - bug report"
10230;"problem with image"
10231;"bug report on View Source "
10232;"issue of visability menu item"
10233;"view links on Pages page"
10234;"Post Alpha Testing "
10235;"Service related Issues seen on 11/24 Release"
10236;"TreeView sign"
10237;"problem with Delete link on Pages "
10238;"problem with buttons on Add Page"
10239;"problem with upload images on Add Page"
10240;"problem with drag&drop on News"
10241;" problems with add/edit Newsblocks"
10242;"Problems with edit employee"
10243;"problem with Delete link on Employees page"
10244;"problem with buttons on Add Project"
10245;"problem with Submit button on Add Job"
10246;"problem with upload imafe on Add Job"
10247;"problem with Delete link on Jobs page"
10248;"problem with animation on Home Page"
10249;"Fix error prod"
10250;"invisible images on ""Who We Are"" page"
10251;"problem with headers highlight"
10252;"Implement netbat code"
10253;"specify what type of file needed"
10254;"problem with popups"
10255;"invisible avatar "
10256;"on new employee's page there is no Full Image"
10257;"problem with displaying Page's Content information"
10258;"Fix order and images plugin"
10259;"tag A without href "
10260;"required field not highlighted on Add Project"
10261;"must be preloaded images"
10262;"Fix article amount"
10263;"more than ne Newsblock in one place"
10264;"Issues Nov 25"
10265;"problems with displaying Thoughtblocks"
10266;"25 11 2010 testing"
10267;"on click image newsblock must be redirect"
10268;"Problem with Main Thought"
10269;"Client Feedback on Release BETA (Static) 0.5"
10270;"Problem with headers highlighting"
10271;"Horse E-Commerce (Ruelala, Lauren Kay)"
10272;"25_11_10 evening testing"
10273;"assign email notification got twice"
10274;"Create dev environmet on client's server"
10275;"OpenGL test project "
10276;"changes to page Join Our Team"
10277;"Fix design of AdEx in IE7"
10278;"Logotype must be changed"
10279;"Test"
10280;"Problem to delete employee"
10281;"On mouse over avatar changes"
10282;"Bug fixes from Dmitry"
10283;"NAS Backup"
10284;"Add redirect bad urls to bot trap"
10285;"Client feedback Nov 29"
10286;"Misc. changes to Demo app"
10287;"Bugs"
10288;"News (29th november)"
10289;"Speed of content portal"
10290;"API base features v0.5"
10291;"HTML text changes"
10292;"headers order"
10293;"Video App (Daniel Blydowski)"
10294;"iPhone/iPad App Installation Instructions"
10295;"AR: 0.7 Release Fixes "
10296;"Unable to download from iTunes"
10297;"UPS Options + State for each Country logic"
10298;"Add User Post To Wall Feature"
10299;"Post to user Wall on plugin download"
10300;"Twitter links not working"
10301;"Concierge Checklist"
10302;"Remove 2 titles from website"
10303;"Remove wrong tags from task description"
10304;"backend"
10305;"Add API tab "
10306;"Frontend Production Art"
10307;"News page adjustments"
10308;"Improve Specifications"
10309;"Refactoring Design/Spec(s)"
10310;"Jewel Box for Order Screen"
10311;"Mention Mobile (App Development Super Friends)"
10312;"iPhone 4.2 Bug"
10313;"Research why we dropped in SEO"
10314;"Fix Sitemaps"
10315;"Client Feedback to Release BETA (Static) v0.5 (part 2)"
10316;"Button icon for App"
10317;"Welcome Screen Changes and About/Info Screen"
10318;"Cost Field Defaults"
10319;"Wireless Distribution"
10320;"Backend Documentation"
10321;"Fix Sitemap for New URL"
10322;"final bug list"
10323;"December maintenance changes"
10324;"Spider Trap Update"
10325;"Client Feedback to Release BETA (Static) v0.5 (part 3)"
10326;"Import content to the app"
10327;"Add an ""Add"" button to the ""matching"" item"
10328;"Wrong email"
10329;"GemEx Screen"
10330;"bugs & changes from Dmitry 12/1"
10331;"MEA: Design Container"
10332;"MEA: Wireframes"
10333;"Changes 12.01"
10334;"Look into Google Analytics Info"
10335;"appearance bugs"
10336;" minor adjustment"
10337;"Add a page"
10338;"Configure new workers "
10339;"wizard testing"
10340;"Admin flag & voicestar integration changes"
10341;"frontend"
10342;"test crm notifications"
10343;"testing frontend"
10344;"Empty advertising"
10345;"Prepare to move live"
10346;"AltMeds iPhone Release 2.0"
10347;"Altmeds iPhone Release 2.0 Designs"
10348;"serveURL needs ""http"" and encoding for yahoo domain match feed"
10349;"Believe App/Asian Recipe App PR"
10350;"News Page"
10351;"Designs for News Pages"
10352;"new tASK for Dmitry"
10353;"Create @2X Images For Yes / No Switch"
10354;"test task created"
10355;"subtask created"
10356;"12343241"
10357;"test 2"
10358;"AR: Text Fixing "
10359;"test of the crm"
10360;"minor changes to email layout"
10361;"email duplicates"
10362;"Remove HVE boutique Ad"
10363;"Agent Lens: Initial Designs"
10364;"localization"
10365;"AR: 3 Major Bug Fixes"
10366;"AR: Checklist"
10367;"Pre-release changes"
10368;"problem with popups"
10369;"Research how to design iTunes Page"
10370;"MobileDevHQ Saritasa page"
10371;"newsletter bug"
10372;"Ad Seller Sub-Publisher Controls"
10373;"Add pageviews to revenue report"
10374;"Add Page to Robots.txt "
10375;"Design Webpage"
10376;"St. Jude Medical"
10377;"Changes in scrap tool"
10378;"AR: Beta 0.7.7 feedback"
10379;"change logo"
10380;"XML feed issues "
10381;"translate docs"
10382;"December 2010 maintenance tasks"
10383;"Content Uploader"
10384;"Rearrange Products "
10385;"Bugs Dec 6'th"
10386;"Image Thumbnail Appearance"
10387;"Improve rank report with date search"
10388;"Release 5.9"
10389;"API v1.0"
10390;"Billing Information"
10391;"icon for the task"
10392;"Deployment & setup documentation"
10393;"Move to Prod"
10394;"AR:Beta 0.7.8 -- Bug Fixes"
10395;"Fix error on prod"
10396;"Remove empty spase"
10397;"Urgent Care SEO"
10398;"SHARP SEO"
10399;"SHARP Monthly"
10400;"SHARP Rep Montlhy"
10401;"UrgentCare Monthly"
10402;"Profiles from the search box do not work"
10403;"Enhancements to Yahoo Domain Match "
10404;"Yahoo Domain Match Feed Request & Response"
10405;"Client Feedback #7"
10406;"AR: 0.7.9 Bug Fixes"
10407;"Stop geo coding bing maps on profile pages "
10408;"Add Getting Started and Documentation links to API tab"
10409;"Add API Keys section to API Tab"
10410;"Add Usage Reports section"
10411;"backend developming"
10412;"Ad Serving"
10413;"JS Widget for partner domain websites"
10414;"12.07 Hourly Estimate of Fixes"
10415;"HTC Question + Shipping Section"
10416;"Contact us Submission modification"
10417;"The bungalow ad modification"
10418;"Plugging in iPad to download"
10419;"FAP: Development"
10420;"Live Test Batch #2"
10421;"Live Test Batch #1"
10422;"list of error messages"
10423;"ozo final bug fixes (hope they're final)"
10424;"post-production changes on optosigma"
10425;"Project Management"
10426;"Correct  Apply To Multiple Domains"
10427;"LOCM Admin / Partner Login Page (Login/Forgot Pswd)"
10428;" Partner Account Creation / Updating"
10429;"Partner User Account Management"
10430;" Partner Domain spreadsheet upload with validation"
10431;"Partner Domain error spreadsheet creation"
10432;"Prepare MSSQL dump "
10433;"XML parser to dictionary"
10434;"Release v1.1"
10435;"Move Content to Amazon CloudFront"
10436;"Schiffer Monthly"
10437;"Releases for Client's UDID"
10438;"Link on homepage jpeg"
10439;"Add Omniture to all domains for OCTANE tracking"
10440;"WindVisuals Monthly"
10441;"Connect with LInkedin Button"
10442;"hours used in email notification"
10443;"Design ""Linked in"" button for Altmeds"
10444;"Please test Lost Password/Recovery"
10445;"Add Production Server Changes to Mercurial"
10446;"Stats DB"
10447;"Bug"
10448;"Add CST for logged in users"
10449;"network documentation"
10450;"Changes in XML feed"
10451;"Typo"
10452;"bugs"
10453;"Server error in notificationProcessor then task created"
10454;"Domain renewal"
10455;"Release 1.2"
10456;"Quote on feature requests"
10457;"Client UDID for release"
10458;"prepare proxy logic schema"
10459;"December Monthly"
10460;"Place new release on company iphone"
10461;"DMB Development iPad (Sitelab)"
10462;"contact us modification"
10463;"Comments from client Dec10"
10464;"MS SQL 2000 installation pack"
10465;"VIP Loop"
10466;"Text Changes"
10467;"Image Replacements"
10468;"Selective Downloading of Video"
10469;"Links to Glossary Items"
10470;"Retrieve States per Country"
10471;"Remove or Replace ZOOM"
10472;"Events not showing up on Dashboard"
10473;"Disappearing Zones "
10474;"Release v1.3 (full & limited)"
10475;"Design Pop Up Window"
10476;"Viacom Alerts"
10477;"bot trap issue investigation"
10478;"header text change"
10479;"Prod error"
10480;"Frontend bugs "
10481;"Need fix December 13"
10482;"Testing dec 13"
10483;"Fix Facebook link"
10484;"BillingType API modification"
10485;"Test Task From Client CRM"
10486;"Test Task Created from Client CRM #2"
10487;"chaining bugs"
10488;"Create Pages for Multi-User"
10489;"PhoneGap"
10490;"accepted/started/finished notifications"
10491;"new check21 file needed 12/13"
10492;"Your Menu ""Add"" Button not working"
10493;"Create Button Placeholders For Movies"
10494;"Put Mobile Device Movies on Website"
10495;"Identicoin: Development"
10496;"Identicoin: Dev Management"
10497;"Images problem with files generated from signatures"
10498;"Marchex Voicestar Toll Free Number Error"
10499;"Adjust Address on Contact us Page"
10500;"Experiment with face + hair"
10501;"couple of changes 12/14"
10502;"SM: Development"
10503;"Create pages with given jpegs"
10504;"couple of nuances with home page"
10505;"Mobile Versions of Our Sites"
10506;"Design Mobile versions of our Sites"
10507;"reopened updated task"
10508;"Glitches in Logic should be refactored"
10509;"Customization tasks"
10510;"Need pictures of the team "
10511;"Changes in webservice logic"
10512;"jewelpad XML feed changes"
10513;"December maintenance - part 2"
10514;"Upload images to backend"
10515;"on prod testing"
10516;"Schedule Page Customization"
10517;"Design Schedule Page"
10518;"Slow Backend + Frontend"
10519;"Create FAX cover sheet"
10520;"Truth Agency (Project 1)"
10521;"Sitemap"
10522;"wireframes"
10523;"Adjust colors to be warmer"
10524;"Create test hotel "
10525;"Local.com feed"
10526;"Backend Pages bugs"
10527;"Self Education | RU"
10528;"PA Orders Bug"
10529;"Dec 16 Bugs"
10530;"Upload Bug"
10531;"FAP: Dev. Changes"
10532;"ToyBox Entertainment - Little Blue People Apps"
10533;"Google Rank not showing in report but shows in detail"
10534;"Redirect website"
10535;"CR: Test by Emily 12.16"
10536;"Safari/Chrome/Opera/FF Bug"
10537;"Add Blogads Ads to website"
10538;"PHP consulting"
10539;"check21 - 766.41 needed."
10540;"check21 - 5982.19 needed"
10541;"test aleph api invalid CC request"
10542;"change text in error messages (ini file)"
10543;"Problems with Provider sign up"
10544;"New leads generation"
10545;"Leads generation interface"
10546;"Product availability options"
10547;"Add the poscard"
10548;"Authorize.net charge not working"
10549;"Display email from user Profile"
10550;"48 Interactive ( ProdoLabs )"
10551;"FAP: Dev Changes II + Push to Client Server"
10552;"free space problem on linux1 & 89.111"
10553;"bugs & picture management"
10554;"free space on HDD"
10555;"please check SMS & Email notifications"
10556;"Pages speed"
10557;"Backend Design Changes"
10558;"Generate ORM From MySQL DB"
10559;"SU: Backend Development"
10560;"SU: Frontend Development"
10561;"Implement auth procedure to Backend"
10562;"Implement List Widgets in Users Tab"
10563;"Add/Edit Admin in Backend"
10564;"Implement Registration Procedure"
10565;"Email Titles"
10566;"Prepare Release v1.3 (full)"
10567;"Prepare Release v1.3 (limited)"
10568;"Change how Providers/Vendors are displayed"
10569;"Check SDK possibilities to implement different blending mode"
10570;"Error on domains page"
10571;"IE7 backend issues"
10572;"Prod error"
10573;"Search and Filter Messed up"
10574;"Reports page"
10575;"Text Corrections"
10576;"Erick Armelin (AFCA)"
10577;"Initial Design"
10578;"Business page style upgrade for bulk"
10579;"Improve design of the small business page style"
10580;"Cannot add a project"
10581;"Summary Islands"
10582;"Clean up ""Add Your Listing"""
10583;"More problems"
10584;"Feedback Dec 20"
10585;"configure slave DNS server"
10586;"Deploy code to DNS slave machine"
10587;"Feedback from Nik"
10588;"FAP: Dev Changes III + WP changes for client server"
10589;"Make Recommendations for Improved Ranking"
10590;"Create Initial Design Concepts"
10591;"SLV: Droid Production"
10592;"Refactoring Glitches 12.21"
10593;"Local directory listing should not move when loading"
10594;"Identicoin: Create Frames for Animation"
10595;"Weather for Golf"
10596;"Compare Products Bug"
10597;"Google Places"
10598;"Maintain Clickbrand Google Places"
10599;"Maintain Google Places for Saritasa"
10600;"Get SQL dump"
10601;"Apply NY theme"
10602;"test on second server"
10603;"Improve domain search suggest feature"
10604;"Change the way help is loaded in the admin"
10605;"Lori (CPC)"
10606;"Business API Enhancements v1.0"
10607;"API Console Changes"
10608;"Results should replace not go to the bottom of result"
10609;"Required fields should be shown prior to hitting send"
10610;"Ref ID should be pre-filled for the user"
10611;"Improve formatting of API call results"
10612;"General API Changes"
10613;"Add Flurry Analytics to App"
10614;"Install Flurry Analytics to App"
10615;"One more approach"
10616;"HTML/CSS banch of changes for the frontend"
10617;"API tab should not be shown unless user has rights"
10618;"Revenue report not showing pageviews by day"
10619;"[B] Parks Container"
10620;"Add/Edit Park in Backend"
10621;"Park List Widget"
10622;"Park Image Management"
10623;"[F] Parks Container"
10624;"Add a Spot"
10625;"Park View Page"
10626;"Fan Procedure"
10627;"Comments widget"
10628;"Make People on Photos HAPPY!"
10629;"Release 1.0 comments"
10630;"Photo/Media Gallery Widget"
10631;"Education.Main & Parks Widget"
10632;"Parks & Spots Index Page"
10633;"Planning & Design"
10634;"Kickoff and Client Setup"
10635;"Research"
10636;"Sitemap"
10637;"Wireframe"
10638;"Initial Concepts"
10639;"Final Designs"
10640;"Specifications"
10641;"Development"
10642;"Project Development"
10643;"App Development"
10644;"BETA Testing"
10645;"Project Management"
10646;"iPhone or iPad Prototype"
10647;"PhoneGap"
10648;"Install Staging Environment"
10649;"Freckles layer changes + skin color slider"
10650;"Saritasa mobile sitemap and wireframes. "
10651;"Release 0.83 fixes"
10652;"Webmaster tools account of SuperMedia"
10653;"Project Management"
10654;"Remove these accounts from linux1"
10655;"Client Feedback for v0.82"
10656;"Client app feedback for v0.82"
10657;"Bulk upload SMB sites"
10658;"logotype replacement"
10659;"12.27 Bugs"
10660;"Image Editor"
10661;"Add GeoCoding"
10662;"[F] Events Container"
10663;"Create Event Form"
10664;"Invite zone-widget"
10665;"Event View Page"
10666;"Events List Page"
10667;"Add UDID to Devices"
10668;"ClickBrand Mobile Production Art"
10669;"Merge production branches"
10670;"Set up staging environment "
10671;"Change Concierge Reservation email"
10672;"Thumbnails for 2D images "
10673;"Some comments form Nastya and Elena"
10674;"Bugs in make up"
10675;"Testing Dec, 28"
10676;"Release 1.1"
10677;"Staging issues "
10678;"Changes Dec 28"
10679;"Viewing Monthly Price"
10680;"Some bugs in registration page"
10681;"All popups must have X in right top corner"
10682;"Bug clicking on category page"
10683;"Client testing v0.82 on Dec29"
10684;"Design Needs for Parent Task"
10685;"CR: Fix Google Coordinates from LL to Link"
10686;"Agent Lens: Production Art"
10687;"SuperMedia Content Issue"
10688;"Images jump out of the border posts"
10689;"Export issues"
10690;"More design changes need"
10691;"12.30 Features"
10692;"Develop Clickbrand Mobile"
10693;"PM role & permissions problem"
10694;"edit my own profile data"
10695;"Final Bugs LIst"
10696;"Search Not Working"
10697;"Reducing the amount of text"
10698;"Home page modifications"
10699;"Change Super Media sites local directory appid"
10700;"Client's Dec 23rd Changes"
10701;"Release v1.4 "
10702;"Spelling Corrections"
10703;"TakeyaUSA Web Development"
10704;"Design Management"
10705;"Nursing CE Credit Site "
10706;"padding to the zone"
10707;"Thumb Media Group"
10708;"Add new IP Addresses for new partner (like SuperMedia)"
10709;"Backend Totals are not appearing next to Categories"
10710;"monthly report"
10711;"update code on our side"
10712;"Servers unavailable"
10713;"Add New Partner Information"
10714;"Missing Omniture data on Contact Us"
10715;"Auto App Update Notification and link"
10716;"Traffic report error for group by week"
10717;"Bugs on iPad"
10718;"31st again"
10719;"Fix Incorrect Links"
10720;"Fix Incorrect Links"
10721;"SLV: Droid Specification"
10722;"SLV: Blackberry Production"
10723;"SLV: BlackBerry Specification"
10724;"Sales Presentation"
10725;"SLV: iPhone Specifications"
10726;"Update Events page"
10727;"CR: Logo White Overlay Fix"
10728;"update XLS spreadsheet"
10729;"[F] Competition Container"
10730;"Create new Competition"
10731;"Competitions index page"
10732;"Top SkateU Challengers widget"
10733;"Winners page"
10734;"Selecting a Winner"
10735;"Competition/Submission view Page"
10736;"limits for containers"
10737;"Set up Jewelpadtouch.com domain"
10738;"January 2011 maintenance tasks"
10739;"Images replacements"
10740;"Add new title to website"
10741;"FanTapper preloader bug"
10742;"Need detailed description on changes"
10743;"Add update link to app backend"
10744;"Implement GeMex certificates API"
10745;"Problem with forms"
10746;"Remove extra space"
10747;"Phone issues"
10748;"SM: Website Design"
10749;"SM: Web Specification"
10750;"SM: Web Initial Design"
10751;"Homepage Change"
10752;"Move Text on Press Contact Page"
10753;"[Urgent] Fantapper fix needed"
10754;"Michael Dubin (SnipSnipSnap) iPhone/Android App"
10755;"bad SQL again"
10756;"Michael Dubin (SnipSnapSnap)"
10757;"MEA: Initial Concept"
10758;"Reneta J (iPhone App)"
10759;"Billing type to be exported in XLS"
10760;"AltMeds: Blackberry App v1.0 Design"
10761;"meta tags & export to XLS client report"
10762;"Set up templates & clean up backend"
10763;"Upload video to Mud County"
10764;"Extract bookings from Prod site"
10765;"Change photo"
10766;"AutoHelix Front End and Backend  HTML/CSS/JS"
10767;"Unique Domains Sitemap Errors"
10768;"Remove Source Code"
10769;"magic with pages"
10770;"Create HTML Mini App"
10771;"Build Mini App phase 1"
10772;"AltMeds: Android App v1.0 Design"
10773;"Google SEO Test with 15 EM sites - January"
10774;"More issues with FanTapper"
10775;"City Search "
10776;"AltMeds: Blackberry App v1.0, Design"
10777;"AltMeds: Android App v1.0, Design"
10778;"Domain Search API"
10779;"Weather Interface Design"
10780;"Sales Leads Tracking"
10781;"Make products available to sell configurable by publisher"
10782;"Product Adding Issue"
10783;"Create products purchased section"
10784;"Products Search API"
10785;"Add initial Orders API Phase I"
10786;"Add Address & Phone as domain global variables"
10787;"Alignment Fix"
10788;"email address duplicate issue"
10789;"PA: 01.07 Bug Fixes"
10790;"PA: Remove Zoom Feature"
10791;"PA: 01.07 Features"
10792;"Image renaming and compression"
10793;"Release v0.83 Testing"
10794;"IE8 Issue"
10795;"Set up Amazon CDN for content"
10796;"add “Sponsored Links” text"
10797;"Problem with Contact Us"
10798;"Domain Transfer"
10799;"Set up templates"
10800;"Error on page setup of page."
10801;"Training"
10802;"Thumb Media Group (Project 2)"
10803;"Download Now Links - 6 Pages"
10804;"bugs with XLS (client report) export"
10805;"Tip MedCom: Handheld Sitemap"
10806;"Tip MedCom: Admin/CMS Sitemap"
10807;"Saritasa Mobile Initial Design"
10808;"George Uy (iPhone App)"
10809;"Create xhtml/css/js"
10810;"Develop Sales Dashboard"
10811;"Sales Lead View Page"
10812;"Add new Lead dialog box"
10813;"New Lead Step Dialog"
10814;"Step Completed Dialog Box"
10815;"Release v0.84 Testing"
10816;"App Name and Icon"
10817;"New resource fixing and resful service help"
10818;"Additional changes to counter"
10819;"remove new year decoration from site"
10820;"Configure dev. environment"
10821;"feedbacks to Vladimir"
10822;"V 0.9 Bugs"
10823;"SM: Production Art"
10824;"PA: 01.11 Banner on Browse Artisan"
10825;"01.11 - State/Province drop down bug"
10826;"Prepping for Launch"
10827;"MW: Reseller email + Root User"
10828;"LInks to Pages"
10829;"Overall changes to platforms"
10830;"Release v0.84 Testing, Part II"
10831;"Need image for EGL Cert"
10832;"Technical Help and Status Screen"
10833;"Allow Purchase of Mounting or Diamond only"
10834;"Designs for Diamond Purchase"
10835;"Research BlackBerry SDK "
10836;"IE8 issue"
10837;"Changes for template and google maps"
10838;"Backend API development "
10839;"Comments Widget bugs"
10840;"Refand problem"
10841;"Optimize page load process"
10842;"New Local Pages"
10843;"AltMeds: Android App v1.0 Design, Specifications"
10844;"Prepare art files for print"
10845;"Ginger: iPhone App v1.0, Wireframe"
10846;"Facebook error with all our URLS"
10847;"January Tasks"
10848;"Increase Keyword Density "
10849;"SHARP SEO"
10850;"SHARP EMN"
10851;"UrgentCare SEO"
10852;"UrgentCare EMN"
10853;"SHARP Rep EMN"
10854;"SchifferBuus EMN"
10855;"System Performance"
10856;"Show time "
10857;"Database performance evaluation"
10858;"Network device migration"
10859;"Estimate iPhone and New Features"
10860;"Source Code"
10861;"Mini App Production Art"
10862;"Schiffer EMN"
10863;"Content Management (moderation)"
10864;"[B] Lottery Management"
10865;"List of lotteries"
10866;"Implement Lottery Add Page"
10867;"PA: Add products to Staging"
10868;"Crontab script to select a winner"
10869;"[F] Lotteries"
10870;"Lotteries List Page"
10871;"Buy Lottery Ticket functionality"
10872;"[B] Shop"
10873;"SEO Efforts"
10874;"Frontend optimization for speed"
10875;"SEO Improvements - January"
10876;"Email Function Not Working"
10877;"[F] Products, Shop"
10878;"Product View Page"
10879;"ZIP code issues"
10880;"Contact us  page"
10881;"Misc non-client general tasks | RU"
10882;"Upload missing fashion rings 2D images"
10883;"Typesetting fix after changes for zone11"
10884;"SM: Frontend(iPad) development"
10885;"Change domain back to AltMeds.com"
10886;"48Interactive (Gelaskins)  "
10887;"AltMeds RSS Feed"
10888;"SEO Test: Octane internal link building"
10889;"Revenue Report Export"
10890;"PA: Billboard XML file"
10891;"V 0.9.2 Bug Release"
10892;"Mini App Specifications"
10893;"Footer Zones"
10894;"Final Designs & Notes for Specification"
10895;"Design for iPhonei0S4"
10896;"Content Downloading and InfoScreen"
